,Region,Surface area,Population in thousands,Population density,Sex ratio,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Employment: Agriculture,Employment: Industry,Employment: Services,Unemployment,Agricultural production index,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"Balance of payments, current account",Population growth rate,Urban population,Urban population growth rate,"Fertility rate, total",Refugees and others of concern to UNHCR,Infant mortality rate (per 1000 live births,Health: Total expenditure,Health: Physicians,Education: Government expenditure,Seats held by women in national parliaments %,Mobile-cellular subscriptions,Mobile-cellular subscriptions .1,Individuals using the Internet,Threatened species,Forested area,CO2 emission estimates,"Energy production, primary",Energy supply per capita,Pop. using improved sanitation facilities,Female labour participation,Male labour participation,Life Expectancy Female,Life Expectancy Male,Population Age 0-14,Population Age 60+,Primary Enrolment Female,Primary Enrolment Male,Secondary Enrolment Female,Secondary Enrolment Male,Tertiary Enrolment Female,Tertiary Enrolment Male,Improved Drinking Water Urban,Improved Drinking Water Rural
137,19,923768.0,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084.0,36533.0,67551.0,-15763.0,2.7,47.8,4.7,5.7,2437.5,76.3,3.7,0.0,-99.0,5.6,82.2,47.4,361,8.1,0.6,10851,32,80.8,0.52,48.5,64.3,52.6,51.2,44.0,4.5,92.8,94.5,53.5,57.8,8.3,11.8,32.8,25.4
138,13,260.0,2,6.2,100.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,101,101,-99.0,-99.0,-99.0,-99.0,-0.1,42.5,-0.9,2.6,-99.0,8.1,7.4,0.0,-99.0,-99.0,0.0,79.6,52,70.0,5.7,0,62,98.4,-99.0,0.0,0.0,76.3,70.1,22.8,20.1,120.2,147.2,114.1,104.1,-99.0,0.0,100.0,100.0
139,11,386194.0,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,103,104,89120.0,72473.0,16647.0,33746.0,1.2,80.5,1.3,1.8,73.2,2.4,9.7,4.4,7.4,39.6,113.6,96.8,64,33.2,9.2,8204,233,100.0,-99.0,61.1,68.3,83.6,79.5,17.8,22.3,100.3,100.5,111.1,114.7,91.5,62.8,98.0,98.3
140,20,309500.0,4636,15.0,192.8,69832,5.7,15550.8,1.5,51.1,47.3,5.0,39.6,55.4,17.8,134,134,24455.0,23260.0,1195.0,-10807.0,6.5,77.6,8.5,2.9,0.6,9.6,3.6,1.5,5.0,1.2,159.9,74.2,99,0.0,14.4,3101,239,95.5,0.0,30.1,85.4,78.7,74.5,21.8,4.0,111.2,107.4,107.9,101.0,-99.0,0.0,97.3,94.7
141,17,796095.0,197016,255.6,105.6,266458,5.5,1410.4,25.5,19.0,55.5,42.1,19.8,38.1,5.9,135,138,20534.0,46998.0,-26464.0,-1603.0,2.1,38.8,2.8,3.7,2739.4,69.8,2.6,0.8,2.6,20.6,66.9,18.0,140,2.0,0.9,2202,17,93.9,1.32,24.8,82.5,66.8,65.0,34.8,6.7,85.2,99.7,39.2,49.5,9.2,10.6,83.1,51.1
142,1,75320.0,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70.0,14.5,19.6,65.9,6.2,117,118,636.0,11697.0,-11061.0,-3377.0,1.7,66.6,2.1,2.6,21.5,15.2,8.0,1.6,3.2,18.3,174.2,51.2,383,62.3,2.3,31,35,97.7,0.02,50.5,80.4,80.5,74.3,27.4,11.4,100.9,103.5,78.3,72.9,46.5,31.2,83.5,58.0
143,6,462840.0,8251,18.2,103.5,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26.0,2.5,84,83,8760.0,8874.0,-114.0,5326.0,2.2,13.0,2.1,3.8,9.7,49.0,4.3,0.0,-99.0,2.7,46.6,7.9,493,74.1,0.8,114,22,88.0,3.51,69.6,71.2,67.4,62.6,35.9,6.1,109.3,119.8,34.6,45.8,-99.0,0.0,56.4,13.3
144,15,406752.0,6811,17.1,102.9,27714,3.1,4174.4,19.0,29.5,51.6,19.6,19.5,61.0,5.5,160,166,8494.0,9753.0,-1259.0,-462.0,1.3,59.7,2.1,2.6,0.2,28.8,9.8,1.3,5.0,13.8,105.4,44.4,59,39.4,0.9,325,38,100.0,0.22,58.3,84.7,74.9,70.7,29.4,9.4,104.3,107.6,79.1,74.2,0.0,0.0,95.5,78.4
145,15,1285216.0,32166,25.1,99.8,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145,148,36040.0,36185.0,-145.0,-9210.0,1.3,78.6,1.7,2.5,2.5,18.6,5.5,1.1,4.0,27.7,109.9,40.9,685,57.9,2.0,1020,30,91.4,0.18,66.1,82.8,76.8,71.5,27.4,10.4,101.7,101.7,95.8,95.7,0.0,0.0,82.5,53.2
146,14,300000.0,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122,120,56313.0,85909.0,-29596.0,7694.0,1.6,44.4,1.3,3.0,240.2,22.2,4.7,0.0,0.0,29.5,118.1,40.7,783,26.2,1.1,991,19,93.7,0.15,50.8,78.9,72.1,65.4,31.7,7.6,116.9,116.8,92.7,84.4,40.3,31.4,77.9,70.8
